Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,250621,Camarasa,47,253,110,42,226,139,89,479,249
2019,439039,Camarles,259,1.047,332,198,967,421,457,2.014,753
2019,430385,Cambrils,3.068,11.032,2.453,2.857,11.427,3.061,5.925,22.459,5.514
2019,170353,Camós,62,206,73,46,203,103,108,409,176
2019,170366,Campdevànol,206,987,373,209,961,487,415,1.948,860
2019,170372,Campelles,8,43,20,6,47,15,14,90,35
2019,080399,Campins,35,206,36,36,175,41,71,381,77
2019,170388,Campllong,61,184,27,59,179,37,120,363,64
2019,170391,Camprodon,142,691,284,144,682,338,286,1.373,622
2019,250637,Canejan,3,37,17,6,34,10,9,71,27
2019,170405,Canet d'Adri,66,238,67,54,219,79,120,457,146
2019,080403,Canet de Mar,1.145,4.627,1.296,1.041,4.661,1.756,2.186,9.288,3.052
2019,439076,"Canonja, la",519,1.970,403,537,1.966,498,1.056,3.936,901
2019,080410,Canovelles,1.560,5.874,1.179,1.455,5.178,1.383,3.015,11.052,2.562
2019,080425,Cànoves i Samalús,270,1.053,258,252,1.008,276,522,2.061,534
2019,170412,Cantallops,20,95,38,24,95,41,44,190,79
2019,080431,Canyelles,408,1.652,354,369,1.528,336,777,3.180,690
2019,430398,Capafonts,4,41,17,7,37,15,11,78,32
2019,430402,Capçanes,16,127,59,24,115,57,40,242,116
2019,080446,Capellades,398,1.724,514,382,1.648,627,780,3.372,1.141
2019,170427,Capmany,42,199,66,48,187,71,90,386,137
2019,080459,Capolat,12,25,7,9,31,10,21,56,17
2019,080462,Cardedeu,1.714,5.993,1.250,1.657,6.101,1.642,3.371,12.094,2.892
2019,080478,Cardona,287,1.443,543,303,1.333,727,590,2.776,1.270
2019,080484,Carme,60,255,81,50,229,90,110,484,171
2019,430419,Caseres,6,76,47,13,72,45,19,148,92
