Municipi;Comarca;Codi;Altitud(m);Superfície(km2);Població;
Rosselló;Segrià;251898;252;9.92;3237;
Rourell. el;Alt Camp;431346;114;2.32;372;
Rubí;Vallès Occidental;081846 ;123;32.3;78591;
Rubió;Anoia;081859 ;629;48;239;
Rupià;Baix Empordà;171539;66;5.29;273;
Rupit i Pruit;Osona;089019 ;822;47.81;271;
Sabadell;Vallès Occidental;081878 ;190;37.79;216520;
Sagàs;Berguedà;081884 ;738;44.6;145;
Salàs de Pallars;Pallars Jussà;251902;573;20.27;327;
Saldes;Berguedà;081901 ;1 215;66.4;278;
Sales de Llierca;Garrotxa;171544;260;35.82;159;
Sallent;Bages;081918 ;278;65.22;6735;
Salomó;Tarragonès;431359;165;12.21;549;
Salou;Tarragonès;439057;2;15.13;28526;
Salt;Gironès;171557;83;6.64;32138;
Sanaüja;Segarra;251919;409;32.99;379;
Sant Adrià de Besòs;Barcelonès;081944 ;14;3.82;37447;
Sant Agustí de Lluçanès;Osona;081957 ;816;13.22;89;
Sant Andreu de la Barca;Baix Llobregat;081960 ;42;5.5;27569;
Sant Andreu de Llavaneres;Maresme;081976 ;114;11.83;11133;
Sant Andreu Salou;Gironès;171576;132;5.96;160;
Sant Aniol de Finestres;Garrotxa;171833;289;47.73;345;
Sant Antoni de Vilamajor;Vallès Oriental;081982 ;258;13.7;6208;
Sant Bartomeu del Grau;Osona;081995 ;868;34.4;884;
Sant Boi de Llobregat;Baix Llobregat;082009 ;30;21.47;84500;
Sant Boi de Lluçanès;Osona;082016 ;813;19.53;580;
Sant Carles de la Ràpita;Montsià;431362;11;53.72;14953;
Sant Cebrià de Vallalta;Maresme;082037 ;71;15.68;3438;
Sant Celoni;Vallès Oriental;082021 ;152;65.23;18136;
Sant Climent de Llobregat;Baix Llobregat;082042 ;87;10.81;4160;
Sant Climent Sescebes;Alt Empordà;171582;86;24.37;707;
Sant Cugat del Vallès;Vallès Occidental;082055 ;124;48.23;92977;
Sant Cugat Sesgarrigues;Alt Penedès;082068 ;266;6.24;1009;
Sant Esteve de la Sarga;Pallars Jussà;251961;875;92.87;122;
Sant Esteve de Palautordera;Vallès Oriental;082074 ;231;10.64;2864;
Sant Esteve Sesrovires;Baix Llobregat;082080 ;183;18.56;7696;
Sant Feliu de Buixalleu;Selva;171595;402;61.94;797;
Sant Feliu de Codines;Vallès Oriental;082107 ;480;15;6363;
Sant Feliu de Guíxols;Baix Empordà;171609;4;16.23;22097;
Sant Feliu de Llobregat;Baix Llobregat;082114 ;25;11.82;45467;
Sant Feliu de Pallerols;Garrotxa;171616;473;34.86;1437;
Sant Feliu Sasserra;Bages;082129 ;617;22.36;605;
Sant Ferriol;Garrotxa;171621;146;42.24;236;
Sant Fost de Campsentelles;Vallès Oriental;082093 ;112;13.15;8853;
Sant Fruitós de Bages;Bages;082135 ;247;22.2;8837;
Sant Gregori;Gironès;171637;112;49.17;3928;
Sant Guim de Freixenet;Segarra;251924;738;25.1;1037;
Sant Guim de la Plana;Segarra;251977;556;12.45;181;
Sant Hilari Sacalm;Selva;171642;803;83.28;5703;
Sant Hipòlit de Voltregà;Osona;082153 ;536;0.92;3540;
Sant Iscle de Vallalta;Maresme;081939 ;129;17.77;1342;
Sant Jaume d'Enveja;Montsià;439023;7;60.79;3527;
Sant Jaume de Frontanyà;Berguedà;082166 ;1 072;21.26;30;
Sant Jaume de Llierca;Garrotxa;171655;203;6.75;871;
Sant Jaume dels Domenys;Baix Penedès;431378;213;24.45;2624;
Sant Joan de les Abadesses;Ripollès;171674;773;53.67;3224;
Sant Joan de Mollet;Gironès;171680;54;3.15;498;
Sant Joan de Vilatorrada;Bages;082188 ;277;16.42;10998;
Sant Joan Despí;Baix Llobregat;082172 ;10;6.17;34267;
Sant Joan les Fonts;Garrotxa;171851;342;31.94;3044;
Sant Jordi Desvalls;Gironès;171668;57;11.72;760;
Sant Julià de Cerdanyola;Berguedà;089030 ;954;11.79;229;
Sant Julià de Ramis;Gironès;171693;128;18.8;3576;
Sant Julià de Vilatorta;Osona;082205 ;600;15.94;3140;
Sant Julià del Llor i Bonmatí;Selva;179032;160;9.73;1313;
Sant Just Desvern;Baix Llobregat;082212 ;122;7.81;18670;
Sant Llorenç d'Hortons;Alt Penedès;082227 ;196;19.72;2428;
Sant Llorenç de la Muga;Alt Empordà;171714;173;31.84;265;
Sant Llorenç de Morunys;Solsonès;251930;925;4.34;960;
Sant Llorenç Savall;Vallès Occidental;082233 ;466;41.11;2417;
Sant Martí d'Albars;Osona;082251 ;629;14.73;114;
Sant Martí de Centelles;Osona;082248 ;404;25.55;1184;
Sant Martí de Llémena;Gironès;171729;256;43.13;641;
Sant Martí de Riucorb;Urgell;259025;409;34.9;639;
Sant Martí de Tous;Anoia;082264 ;465;39.21;1228;
Sant Martí Sarroca;Alt Penedès;082270 ;291;35.27;3261;
Sant Martí Sesgueioles;Anoia;082286 ;646;3.87;342;
Sant Martí Vell;Gironès;171735;65;17.52;251;
Sant Mateu de Bages;Bages;082299 ;569;102.92;608;
Sant Miquel de Campmajor;Pla de l'Estany;171740;217;33.22;229;
Sant Miquel de Fluvià;Alt Empordà;171753;28;3.51;761;
Sant Mori;Alt Empordà;171766;51;7.53;166;
Sant Pau de Segúries;Ripollès;171772;867;8.74;688;
Sant Pere de Ribes;Garraf;082310 ;44;40.8;31111;
Sant Pere de Riudebitlles;Alt Penedès;082325 ;246;5.38;2380;
Sant Pere de Torelló;Osona;082331 ;621;55.13;2470;
Sant Pere de Vilamajor;Vallès Oriental;082346 ;305;34.72;4544;
Sant Pere Pescador;Alt Empordà;171788;5;18.45;2090;
Sant Pere Sallavinera;Anoia;081897 ;588;22.02;151;
Sant Pol de Mar;Maresme;082359 ;15;7.53;5428;
Sant Quintí de Mediona;Alt Penedès;082362 ;326;13.84;2317;
Sant Quirze de Besora;Osona;082378 ;587;8.1;2154;
Sant Quirze del Vallès;Vallès Occidental;082384 ;188;14.07;20195;
Sant Quirze Safaja;Moianès;082397 ;627;26.21;631;
Sant Ramon;Segarra;251945;641;18.53;487;
Sant Sadurní d'Anoia;Alt Penedès;082401 ;162;18.96;12841;
Sant Sadurní d'Osormort;Osona;082418 ;531;30.6;76;
Sant Salvador de Guardiola;Bages;080983 ;334;37.15;3221;
Sant Vicenç de Castellet;Bages;082628 ;176;17.13;9767;
Sant Vicenç de Montalt;Maresme;082649 ;143;8.05;6452;
Sant Vicenç de Torelló;Osona;082652 ;555;6.56;2058;
Sant Vicenç dels Horts;Baix Llobregat;082634 ;22;9.12;28268;
Santa Bàrbara;Montsià;431384;79;28.15;3715;
Santa Cecília de Voltregà;Osona;082439 ;519;8.63;182;
Santa Coloma de Cervelló;Baix Llobregat;082444 ;73;7.49;8268;
Santa Coloma de Farners;Selva;171805;142;70.64;13363;
Santa Coloma de Gramenet;Barcelonès;082457 ;56;7;120443;
Santa Coloma de Queralt;Conca de Barberà;431397;674;33.85;2672;
Santa Cristina d'Aro;Baix Empordà;171812;30;67.55;5287;
Santa Eugènia de Berga;Osona;082460 ;538;7.01;2278;
Santa Eulàlia de Riuprimer;Osona;082476 ;568;13.82;1383;
Santa Eulàlia de Ronçana;Vallès Oriental;082482 ;236;14.23;7426;
Santa Fe del Penedès;Alt Penedès;082495 ;240;3.4;367;
Santa Llogaia d'Àlguema;Alt Empordà;171827;42;1.94;368;
Santa Margarida de Montbui;Anoia;082508 ;316;27.59;10225;
Santa Margarida i els Monjos;Alt Penedès;082515 ;161;17.16;7676;
